Model,sMAPE_base,sMAPE_melh,sMAPE_delta,MRE_base,MRE_melh,MRE_delta,MASE_base,MASE_melh,MASE_delta,NSE_base,NSE_melh,NSE_delta,COD_base,COD_melh,COD_delta
SVM,16.7511,15.3498,-1.4014,0.1801,0.16,-0.0201,0.5083,0.4628,-0.0455,0.5227,0.5682,0.0455,0.5497,0.571,0.0213
RF,15.6088,15.6494,0.0406,0.1624,0.1585,-0.0039,0.4839,0.4732,-0.0107,0.4891,0.5093,0.0202,0.505,0.5159,0.0109
MLP,14.9008,15.4493,0.5485,0.1438,0.1513,0.0074,0.4529,0.4697,0.0168,0.5276,0.4713,-0.0563,0.5548,0.5035,-0.0514
kNN,15.5154,15.4885,-0.0269,0.1583,0.1547,-0.0036,0.4793,0.4673,-0.0121,0.4985,0.5057,0.0072,0.5044,0.5152,0.0108
DT,18.4268,17.7407,-0.6861,0.19,0.1768,-0.0132,0.5664,0.5313,-0.0351,0.3674,0.3706,0.0033,0.3683,0.3784,0.01
ET,15.3599,14.7332,-0.6267,0.1599,0.1484,-0.0115,0.4764,0.4456,-0.0307,0.5197,0.5438,0.0241,0.526,0.5471,0.0211
LR,15.8739,15.6418,-0.232,0.163,0.1645,0.0015,0.4803,0.4887,0.0085,0.5245,-0.0068,-0.5314,0.5265,0.2633,-0.2632
ADA,19.7018,17.0049,-2.6969,0.2183,0.1758,-0.0425,0.613,0.5124,-0.1006,0.3696,0.4634,0.0939,0.4623,0.4662,0.0039
CAT,15.9122,15.2745,-0.6378,0.1642,0.1547,-0.0096,0.4948,0.4632,-0.0316,0.4665,0.4974,0.0309,0.4815,0.503,0.0216
XGB,15.0805,14.6371,-0.4435,0.1554,0.1463,-0.0091,0.4663,0.4438,-0.0226,0.5306,0.5464,0.0158,0.5317,0.5564,0.0247
NB,21.7618,21.0537,-0.7082,0.2142,0.202,-0.0122,0.6808,0.6335,-0.0473,-0.0558,0.0674,0.1232,0.2794,0.3208,0.0413
BG,15.5866,15.5696,-0.017,0.1624,0.1575,-0.0049,0.4826,0.4712,-0.0114,0.4905,0.5104,0.02,0.507,0.5174,0.0104
Static,15.0893,14.7525,-0.3368,0.1545,0.1474,-0.007,0.4714,0.4474,-0.024,0.5213,0.547,0.0257,0.5247,0.5521,0.0273
DES,14.8229,14.8478,0.0249,0.1521,0.1491,-0.0029,0.4582,0.4476,-0.0105,0.5457,0.5505,0.0048,0.5478,0.5554,0.0076
Proposed,14.7977,14.6695,-0.1282,0.1515,0.1469,-0.0046,0.4594,0.4436,-0.0158,0.5433,0.5557,0.0125,0.5449,0.5607,0.0158
