Model,sMAPE_base,sMAPE_melh,sMAPE_delta,MRE_base,MRE_melh,MRE_delta,MASE_base,MASE_melh,MASE_delta,NSE_base,NSE_melh,NSE_delta,COD_base,COD_melh,COD_delta
SVM,110.005,68.8075,-41.1975,6.5981,1.2802,-5.3179,1.0656,0.4947,-0.571,-0.0972,0.2299,0.3271,0.2969,0.2736,-0.0233
RF,79.8566,65.2048,-14.6518,2.3318,1.2787,-1.0531,0.6781,0.4519,-0.2263,0.2018,0.4529,0.2511,0.4346,0.4762,0.0416
MLP,77.9028,70.4708,-7.432,2.1864,1.4075,-0.7789,0.5652,0.9477,0.3826,0.434,-16.6287,-17.0627,0.4533,0.1532,-0.3002
kNN,76.47,69.7292,-6.7408,1.852,1.1928,-0.6592,0.5857,0.5094,-0.0763,0.2552,0.1664,-0.0888,0.3019,0.2258,-0.0761
DT,83.3143,68.6703,-14.644,2.7874,1.1968,-1.5906,0.6629,0.4717,-0.1912,-0.0661,0.3026,0.3687,0.1992,0.3455,0.1463
ET,77.0319,64.6416,-12.3903,2.1305,1.1942,-0.9362,0.6033,0.4479,-0.1554,0.3595,0.386,0.0265,0.4606,0.414,-0.0466
LR,79.7652,76.2271,-3.5381,2.4013,1.7144,-0.6869,0.5663,2.0279,1.4616,0.4821,-138.7162,-139.1983,0.4908,0.1302,-0.3606
ADA,84.8859,66.7764,-18.1096,3.21,1.1438,-2.0662,0.7645,0.4699,-0.2946,-0.2871,0.291,0.5781,0.3274,0.3359,0.0084
CAT,79.7189,73.1261,-6.5928,2.2636,1.3981,-0.8655,0.6959,0.6755,-0.0204,-0.2646,-2.2822,-2.0176,0.1425,0.1804,0.0379
XGB,77.0972,66.256,-10.8412,2.1691,1.2701,-0.899,0.6195,0.4579,-0.1617,0.2772,0.3605,0.0834,0.4361,0.3958,-0.0403
NB,84.1921,83.8637,-0.3285,0.9337,0.913,-0.0207,0.5454,0.4936,-0.0517,0.3034,0.3271,0.0237,0.4051,0.409,0.0039
BG,80.2173,65.5532,-14.6641,2.3551,1.2421,-1.113,0.6851,0.4488,-0.2364,0.1716,0.4553,0.2838,0.4228,0.4802,0.0573
Static,83.9211,69.6887,-14.2324,3.0867,1.4481,-1.6387,0.6078,1.2162,0.6083,0.4279,-34.1192,-34.5472,0.4647,0.1492,-0.3155
DES,74.2306,70.1586,-4.0719,1.7834,1.1872,-0.5962,0.5368,0.4786,-0.0581,0.4093,0.3759,-0.0334,0.4392,0.4266,-0.0126
Proposed,77.5873,70.1393,-7.448,2.3978,1.3078,-1.09,0.5542,0.8379,0.2838,0.4361,-8.1189,-8.555,0.4586,0.1789,-0.2797
