Model,sMAPE_base,sMAPE_melh,sMAPE_delta,MRE_base,MRE_melh,MRE_delta,MASE_base,MASE_melh,MASE_delta,NSE_base,NSE_melh,NSE_delta,COD_base,COD_melh,COD_delta
SVM,149.2226,94.0485,-55.1741,23.8743,1.3907,-22.4836,0.8494,0.5686,-0.2808,0.237,0.1463,-0.0907,0.4155,0.2155,-0.2
RF,94.6235,97.5678,2.9443,8.5888,1.0597,-7.5291,0.4894,0.5225,0.0331,0.4091,0.3863,-0.0228,0.6036,0.7101,0.1065
MLP,123.5679,120.0401,-3.5278,22.6754,2.2917,-20.3836,0.6593,0.6628,0.0035,0.4582,0.1265,-0.3317,0.5079,0.1801,-0.3278
kNN,102.9911,92.806,-10.1851,5.8101,1.8511,-3.959,0.5561,0.5549,-0.0012,0.1684,0.0494,-0.1191,0.2817,0.5107,0.229
DT,101.5358,75.1684,-26.3674,3.7457,0.6559,-3.0898,0.5053,0.509,0.0036,0.055,0.0748,0.0198,0.2249,0.3458,0.1209
ET,102.0529,101.2916,-0.7613,5.4175,1.0445,-4.3729,0.4912,0.4921,0.0009,0.3314,0.4624,0.131,0.568,0.8099,0.2419
LR,151.0106,95.0468,-55.9638,27.8226,4.895,-22.9276,0.7978,0.5371,-0.2607,0.1819,0.1997,0.0177,0.1942,0.5419,0.3476
ADA,94.4883,84.0223,-10.466,5.1474,0.8344,-4.3131,0.4689,0.3331,-0.1358,0.3065,0.8012,0.4947,0.6028,0.9563,0.3536
CAT,117.3051,93.6845,-23.6205,3.4381,1.9571,-1.481,0.4441,0.6062,0.1621,0.432,0.429,-0.003,0.712,0.4357,-0.2763
XGB,105.8609,91.3285,-14.5324,4.5802,1.067,-3.5132,0.4761,0.3664,-0.1097,0.2275,0.7366,0.5091,0.5626,0.9409,0.3784
NB,93.4064,95.711,2.3046,1.4735,1.056,-0.4175,0.4931,0.473,-0.0201,-0.0837,0.6228,0.7065,0.0103,0.8327,0.8225
BG,102.0749,96.9385,-5.1364,8.3124,1.0172,-7.2952,0.5079,0.4814,-0.0266,0.3216,0.5125,0.1909,0.6185,0.8365,0.218
Static,91.3836,104.8837,13.5001,3.2828,1.6128,-1.67,0.4439,0.5689,0.125,0.1216,0.3477,0.2261,0.269,0.5054,0.2364
DES,94.2862,105.2939,11.0077,3.8148,1.0631,-2.7517,0.4541,0.4858,0.0317,0.1425,0.5123,0.3698,0.2341,0.8368,0.6027
Proposed,92.4454,104.6411,12.1957,3.542,1.3264,-2.2155,0.4467,0.5258,0.0791,0.133,0.437,0.304,0.2511,0.6928,0.4417
