Model,sMAPE_base,sMAPE_melh,sMAPE_delta,MRE_base,MRE_melh,MRE_delta,MASE_base,MASE_melh,MASE_delta,NSE_base,NSE_melh,NSE_delta,COD_base,COD_melh,COD_delta
SVM,32.5967,33.2212,0.6245,0.4029,47218074.3791,47218073.9762,0.4719,0.4536,-0.0183,0.4721,0.4771,0.005,0.483,0.4969,0.014
RF,19.5963,21.3927,1.7964,0.2229,15512090.0236,15512089.8007,0.3268,0.3183,-0.0085,0.6556,0.6957,0.0401,0.661,0.7089,0.0479
MLP,34.5267,36.0912,1.5646,0.4414,2130415.6111,2130415.1696,0.5239,0.5151,-0.0088,0.3664,0.3767,0.0103,0.3747,0.3824,0.0077
kNN,20.3492,20.5359,0.1867,0.2529,21169574.0477,21169573.7948,0.3096,0.2883,-0.0213,0.6992,0.728,0.0288,0.701,0.7314,0.0303
DT,37.758,37.6846,-0.0734,0.581,139943676.9523,139943676.3713,0.6131,0.5675,-0.0456,0.1396,0.1882,0.0485,0.1563,0.2013,0.045
ET,16.0726,16.6967,0.6241,0.1888,15022710.361,15022710.1722,0.2498,0.2376,-0.0122,0.7898,0.8119,0.0222,0.8023,0.8321,0.0298
LR,38.2616,39.2386,0.977,0.6201,249992851.0542,249992850.4341,0.6132,0.5851,-0.0281,0.1492,0.1966,0.0473,0.1578,0.2014,0.0437
ADA,34.5001,37.5619,3.0619,0.5423,158020489.6382,158020489.0959,0.5471,0.5603,0.0132,0.3815,0.3888,0.0074,0.3864,0.3986,0.0122
CAT,34.2676,35.3536,1.086,0.4375,105088253.6824,105088253.2449,0.53,0.4982,-0.0318,0.3664,0.4278,0.0614,0.3754,0.433,0.0576
XGB,28.8055,30.1093,1.3038,0.3747,104393428.1422,104393427.7675,0.4569,0.4448,-0.0121,0.4913,0.4943,0.003,0.5048,0.5341,0.0293
NB,53.3292,52.2202,-1.109,0.5271,92238059.9148,92238059.3878,0.7749,0.6975,-0.0774,-0.4142,-0.1774,0.2368,0.0818,0.1502,0.0684
BG,19.4644,21.7377,2.2733,0.2232,13428810.5732,13428810.35,0.3247,0.3249,0.0001,0.6538,0.6867,0.0329,0.6569,0.6973,0.0404
Static,22.4213,18.5327,-3.8886,0.2888,16540364.9791,16540364.6903,0.3414,0.2628,-0.0786,0.6858,0.7826,0.0969,0.7247,0.8027,0.078
DES,17.9253,16.7351,-1.1902,0.2173,18096142.1781,18096141.9608,0.2811,0.24,-0.041,0.7481,0.8047,0.0566,0.7614,0.8173,0.0559
Proposed,20.0406,17.5232,-2.5175,0.2501,17318253.577,17318253.3269,0.3075,0.2496,-0.0579,0.7236,0.7972,0.0736,0.7499,0.8143,0.0644
