Model,sMAPE_base,sMAPE_melh,sMAPE_delta,MRE_base,MRE_melh,MRE_delta,MASE_base,MASE_melh,MASE_delta,NSE_base,NSE_melh,NSE_delta,COD_base,COD_melh,COD_delta
SVM,89.5529,49.7028,-39.8502,3.4102,0.601,-2.8093,0.6195,0.3914,-0.228,0.4138,0.508,0.0941,0.5592,0.548,-0.0112
RF,56.4376,50.8946,-5.543,1.0018,0.5745,-0.4273,0.3755,0.4312,0.0558,0.6005,0.4968,-0.1037,0.6712,0.5179,-0.1533
MLP,81.3622,56.5085,-24.8537,1.2603,0.7304,-0.5299,0.4342,0.4567,0.0225,0.523,0.4762,-0.0468,0.6244,0.5142,-0.1102
kNN,62.8433,62.8656,0.0223,0.9296,0.6639,-0.2657,0.4552,0.4449,-0.0104,0.4106,0.5114,0.1009,0.6012,0.6051,0.0039
DT,64.1788,59.7135,-4.4653,1.2846,0.8215,-0.463,0.4094,0.5172,0.1078,0.5665,0.28,-0.2865,0.6599,0.3396,-0.3203
ET,54.4536,45.7352,-8.7184,0.9267,0.5391,-0.3876,0.3824,0.3583,-0.024,0.5383,0.6472,0.1089,0.6788,0.697,0.0183
LR,76.4343,59.5033,-16.931,1.1202,0.7799,-0.3402,0.4006,0.525,0.1244,0.6053,-0.0621,-0.6674,0.6428,0.5015,-0.1413
ADA,64.2817,47.7092,-16.5726,1.2859,0.5216,-0.7643,0.3874,0.3901,0.0027,0.6326,0.5584,-0.0742,0.7346,0.6486,-0.086
CAT,72.8124,63.143,-9.6694,0.9535,0.8191,-0.1344,0.4066,0.6199,0.2133,0.5642,-0.1715,-0.7356,0.5886,0.2278,-0.3608
XGB,56.2417,50.0481,-6.1936,0.9214,0.5977,-0.3238,0.3746,0.4068,0.0322,0.5484,0.5621,0.0137,0.7204,0.5875,-0.1329
NB,64.8427,79.1723,14.3296,0.8611,0.8561,-0.005,0.463,0.604,0.141,0.4583,0.1841,-0.2743,0.4802,0.3188,-0.1614
BG,56.7071,49.3654,-7.3417,1.002,0.5649,-0.4371,0.3782,0.3964,0.0182,0.5965,0.548,-0.0484,0.6716,0.5731,-0.0984
Static,55.0554,55.3569,0.3015,0.7339,0.7303,-0.0035,0.3685,0.4757,0.1072,0.5701,0.2875,-0.2826,0.678,0.4791,-0.1989
DES,54.9829,62.9881,8.0052,0.7315,0.8111,0.0797,0.3759,0.5411,0.1652,0.566,0.0356,-0.5304,0.6993,0.284,-0.4153
Proposed,54.862,57.745,2.883,0.7278,0.758,0.0303,0.3688,0.4954,0.1265,0.5705,0.2626,-0.3079,0.6946,0.4152,-0.2794
