Model,sMAPE_base,sMAPE_melh,sMAPE_delta,MRE_base,MRE_melh,MRE_delta,MASE_base,MASE_melh,MASE_delta,NSE_base,NSE_melh,NSE_delta,COD_base,COD_melh,COD_delta
SVM,135.0051,42.7319,-92.2733,10.7813,0.4093,-10.372,3.0848,0.4558,-2.629,-10.2462,-0.0389,10.2073,0.011,0.0004,-0.0106
RF,23.2064,29.3867,6.1803,0.2973,0.2963,-0.001,0.2037,0.412,0.2083,0.8703,0.1784,-0.6919,0.8756,0.4084,-0.4671
MLP,89.1965,46.6568,-42.5397,3.021,0.9997,-2.0213,0.8805,8.1449,7.2644,0.0645,-497.3078,-497.3722,0.849,0.9902,0.1412
kNN,42.9499,33.3316,-9.6183,0.9198,0.2926,-0.6272,0.4101,0.402,-0.008,0.4098,0.1461,-0.2638,0.4715,0.6137,0.1422
DT,51.0273,32.3558,-18.6715,0.9415,0.3126,-0.6289,0.4183,0.421,0.0027,0.5389,0.0403,-0.4986,0.5577,0.1369,-0.4209
ET,23.0397,27.2993,4.2597,0.3156,0.2697,-0.0459,0.1839,0.3916,0.2077,0.8919,0.1928,-0.6991,0.8972,0.5129,-0.3843
LR,46.1554,40.6241,-5.5314,0.4893,0.936,0.4467,0.2111,8.1277,7.9165,0.9021,-497.307,-498.2091,0.9426,0.9905,0.048
ADA,32.8973,32.5173,-0.38,0.4516,0.3506,-0.101,0.2624,0.4447,0.1823,0.7218,0.1306,-0.5912,0.7337,0.2356,-0.498
CAT,29.7919,31.2594,1.4675,0.3736,0.2995,-0.0741,0.3159,0.4362,0.1203,0.6828,0.1809,-0.5019,0.802,0.2969,-0.5051
XGB,27.294,27.613,0.319,0.3725,0.2725,-0.1001,0.2208,0.4114,0.1906,0.8579,0.1602,-0.6978,0.8733,0.3585,-0.5148
NB,53.8302,45.2595,-8.5707,0.8905,0.5497,-0.3408,0.5728,0.4592,-0.1136,-0.1152,0.0923,0.2075,0.6711,0.2365,-0.4346
BG,23.2611,28.2502,4.989,0.2966,0.279,-0.0176,0.2011,0.4041,0.203,0.8785,0.1796,-0.6989,0.8834,0.4402,-0.4431
Static,35.8875,33.8352,-2.0523,0.5562,0.5619,0.0057,0.2314,3.9463,3.7149,0.8682,-113.7782,-114.6463,0.9043,0.9919,0.0876
DES,32.6503,30.6069,-2.0434,0.3999,0.2967,-0.1032,0.2163,0.428,0.2117,0.8686,0.1813,-0.6873,0.8854,0.3039,-0.5815
Proposed,26.3515,31.2574,4.9058,0.3838,0.3986,0.0148,0.1825,1.8624,1.6798,0.9215,-23.1022,-24.0236,0.9276,0.9941,0.0666
