Model,sMAPE_base,sMAPE_melh,sMAPE_delta,MRE_base,MRE_melh,MRE_delta,MASE_base,MASE_melh,MASE_delta,NSE_base,NSE_melh,NSE_delta,COD_base,COD_melh,COD_delta
SVM,79.9691,35.9129,-44.0562,1.8248,0.3745,-1.4503,0.5854,0.4444,-0.141,0.1875,0.338,0.1506,0.4002,0.4786,0.0784
RF,54.7991,42.1094,-12.6897,0.5629,0.4892,-0.0737,0.3861,0.4671,0.0811,0.5634,0.6514,0.0879,0.864,0.6884,-0.1756
MLP,95.8334,32.7719,-63.0615,1.8081,0.3265,-1.4815,0.5555,0.3,-0.2554,0.2571,0.833,0.576,0.3703,0.8527,0.4824
kNN,64.9775,51.0767,-13.9008,0.7773,0.5919,-0.1854,0.5259,0.5335,0.0076,0.0062,0.3964,0.3902,0.2509,0.4951,0.2443
DT,61.6769,41.397,-20.2798,0.7094,0.4175,-0.2919,0.4187,0.584,0.1653,0.526,0.1552,-0.3709,0.7128,0.6117,-0.1011
ET,54.5283,41.8368,-12.6915,1.0442,0.5376,-0.5066,0.4156,0.3948,-0.0208,0.4157,0.8002,0.3845,0.8546,0.8009,-0.0537
LR,62.447,44.359,-18.088,1.6672,0.4961,-1.1711,0.4178,0.6225,0.2047,0.5763,-0.1135,-0.6897,0.6853,0.8914,0.206
ADA,58.4523,43.7188,-14.7335,0.6649,0.6069,-0.0579,0.4606,0.4752,0.0146,0.2536,0.5873,0.3337,0.5909,0.6674,0.0764
CAT,56.9274,59.1754,2.248,0.6584,1.0312,0.3728,0.3673,1.2064,0.8391,0.6529,-3.8071,-4.46,0.7257,0.346,-0.3796
XGB,59.1589,39.2282,-19.9307,0.7147,0.4155,-0.2992,0.4425,0.445,0.0025,0.3256,0.5732,0.2476,0.6987,0.676,-0.0227
NB,77.2675,52.678,-24.5895,2.424,0.5947,-1.8293,0.5763,0.561,-0.0154,0.1474,0.3272,0.1798,0.2867,0.3607,0.074
BG,49.5016,40.9022,-8.5993,0.5706,0.4605,-0.1101,0.3701,0.4552,0.0851,0.5922,0.5549,-0.0373,0.8896,0.6771,-0.2125
Static,53.3984,35.1515,-18.2469,1.1336,0.3941,-0.7395,0.4147,0.5551,0.1404,0.4833,0.1989,-0.2844,0.8478,0.7965,-0.0512
DES,49.8802,43.5603,-6.3199,0.678,0.4189,-0.259,0.3945,0.5874,0.1929,0.4344,0.1537,-0.2807,0.8514,0.6164,-0.2351
Proposed,51.7048,37.5734,-14.1314,0.9023,0.3933,-0.5089,0.403,0.5666,0.1636,0.4623,0.2208,-0.2415,0.8709,0.7181,-0.1527
