Dataset,Modo,sMAPE_med,sMAPE_std,MRE_med,MRE_std,MASE_med,MASE_std,NSE_med,NSE_std,COD_med,COD_std
finnish,baseline,62.494,3.274,1.045,0.142,0.429,0.037,0.556,0.044,0.588,0.039
finnish,melhorado,56.871,3.449,0.809,0.118,0.467,0.084,0.5,0.837,0.528,0.15
maxwell,baseline,60.026,6.401,1.017,0.279,0.417,0.258,0.514,0.715,0.587,0.183
maxwell,melhorado,48.532,7.458,0.752,0.967,0.448,0.057,0.662,0.205,0.728,0.232
desharnais,baseline,40.287,8.172,0.551,0.209,0.5,0.066,0.453,0.128,0.474,0.087
desharnais,melhorado,34.53,3.966,0.429,0.1,0.466,0.033,0.446,0.136,0.461,0.156
china,baseline,69.869,3.409,1.385,0.516,0.525,0.027,0.395,0.129,0.406,0.104
china,melhorado,68.553,3.784,1.033,0.22,0.66,0.294,-2.445,21.501,0.326,0.132
kitchenham,baseline,37.609,9.328,0.562,0.256,0.283,0.074,0.758,0.114,0.847,0.055
kitchenham,melhorado,29.615,3.519,0.321,0.066,0.299,0.661,0.62,9.039,0.863,0.097
coc81,baseline,121.156,18.952,8.478,5.176,0.589,0.331,0.043,2.555,0.273,0.17
coc81,melhorado,94.789,11.175,3.234,2.094,0.445,0.127,0.41,0.469,0.836,0.334
debutanizer,baseline,28.872,1.898,0.413,59368124.033,0.423,0.022,0.611,0.017,0.629,0.019
debutanizer,melhorado,27.493,1.48,0.394,0.058,0.426,0.031,0.615,0.057,0.636,0.066
abalone,baseline,15.229,0.881,0.147,0.01,0.463,0.047,0.484,0.06,0.518,0.051
abalone,melhorado,15.272,0.955,0.148,0.01,0.452,0.038,0.508,0.055,0.521,0.045
