Model,sMAPE_obt,sMAPE_art,sMAPE_delta,MRE_obt,MRE_art,MRE_delta,MASE_obt,MASE_art,MASE_delta,NSE_obt,NSE_art,NSE_delta,COD_obt,COD_art,COD_delta
SVM,81.21616,37.302,43.91416,1.90762,1.60133,0.30629,0.59036,0.64518,-0.05482,0.18831,0.64141,-0.4531,0.47864,0.85525,-0.37661
RF,52.7326,18.274,34.4586,0.59942,0.69642,-0.097,0.38417,0.32081,0.06336,0.57463,0.88611,-0.31148,0.86431,0.95035,-0.08604
MLP,69.51342,45.079,24.43442,1.46033,2.61562,-1.15529,0.4424,0.98424,-0.54184,0.42241,0.12867,0.29374,0.59969,0.2717,0.32799
kNN,57.80241,35.082,22.72041,1.0074,1.4606,-0.4532,0.49974,0.78834,-0.2886,0.07888,0.43263,-0.35375,0.31348,0.73278,-0.4193
DT,61.67686,30.156,31.52086,0.70938,1.49436,-0.78498,0.41866,0.6474,-0.22874,0.52605,0.61278,-0.08673,0.71283,0.79335,-0.08052
ET,56.20842,18.59,37.61842,0.91896,1.1559,-0.23694,0.41611,0.37111,0.045,0.44703,0.805,-0.35797,0.8511,0.89854,-0.04744
LR,70.17978,65.296,4.88378,1.61649,14.70762,-13.09113,0.45243,1.61663,-1.1642,0.50707,0.28759,0.21948,0.64277,0.63149,0.01128
ADA,57.59639,24.89,32.70639,0.71763,0.96699,-0.24936,0.44001,0.57493,-0.13492,0.32509,0.43299,-0.1079,0.7129,0.95678,-0.24388
CAT,61.84051,36.453,25.38751,0.81312,1.54738,-0.73426,0.33642,0.673,-0.33658,0.76132,0.5657,0.19562,0.82161,0.87383,-0.05222
XGB,59.76767,18.637,41.13067,0.72958,0.92803,-0.19845,0.45291,0.29177,0.16114,0.27626,0.93225,-0.65599,0.62029,0.96763,-0.34734
NB,75.61202,39.123,36.48902,2.39357,1.0559,1.33767,0.56334,0.57534,-0.012,0.15262,0.66247,-0.50985,0.31252,0.81607,-0.50355
BG,57.49879,20.589,36.90979,0.62055,1.10704,-0.48649,0.3926,0.35486,0.03774,0.56692,0.88439,-0.31747,0.84722,0.94103,-0.09381
Static,60.29884,23.527,36.77184,1.0315,0.7629,0.2686,0.43166,0.42057,0.01109,0.45588,0.8042,-0.34832,0.85891,0.93988,-0.08097
DES,55.26506,16.558,38.70706,0.60991,0.50287,0.10704,0.44136,0.32678,0.11458,0.30285,0.90453,-0.60168,0.6592,0.9522,-0.293
Proposed,59.14524,15.057,44.08824,0.81481,0.47942,0.33539,0.43585,0.26125,0.1746,0.38524,0.95146,-0.56622,0.80193,0.98359,-0.18166
