Model,sMAPE_v2,sMAPE_v1,sMAPE_delta,sMAPE_art,MRE_v2,MRE_v1,MRE_delta,MRE_art,MASE_v2,MASE_v1,MASE_delta,MASE_art,NSE_v2,NSE_v1,NSE_delta,NSE_art,COD_v2,COD_v1,COD_delta,COD_art
SVM,49.2976,88.9171,-39.6195,48.186,0.5981,3.4004,-2.8023,1.87874,0.3793,0.6169,-0.2376,0.81134,0.5524,0.4151,0.1373,0.56357,0.6304,0.5538,0.0766,0.80788
RF,49.1575,58.457,-9.2995,29.145,0.6114,1.0989,-0.4875,1.04612,0.3948,0.388,0.0068,0.66909,0.5666,0.5964,-0.0298,0.36538,0.5793,0.6615,-0.0822,0.74756
MLP,54.198,80.1406,-25.9426,38.703,0.7358,1.5723,-0.8365,1.89333,0.5062,0.4489,0.0573,0.69446,-0.218,0.5567,-0.7747,0.64448,0.5771,0.6204,-0.0433,0.8107
kNN,61.0482,61.7436,-0.6954,35.681,0.6619,0.9621,-0.3002,1.36927,0.4626,0.4422,0.0204,0.72336,0.429,0.4739,-0.0449,0.56898,0.4932,0.6611,-0.1679,0.75544
DT,59.7135,64.1788,-4.4653,37.585,0.8215,1.2846,-0.4631,2.25293,0.5172,0.4094,0.1078,0.92997,0.28,0.5665,-0.2865,0.28421,0.3396,0.6599,-0.3203,0.62113
ET,43.6202,55.0088,-11.3886,27.747,0.5078,0.9526,-0.4448,0.98134,0.3294,0.3825,-0.0531,0.54617,0.701,0.5269,0.1741,0.68537,0.7358,0.645,0.0908,0.84353
LR,58.7014,75.3497,-16.6483,42.961,0.7419,1.064,-0.3221,1.45984,0.5116,0.4085,0.1031,0.67045,0.1103,0.5614,-0.4511,0.6332,0.5649,0.6357,-0.0708,0.84546
ADA,52.1213,63.177,-11.0557,37.621,0.6159,1.3011,-0.6852,2.46283,0.4386,0.3906,0.048,0.80211,0.4371,0.5515,-0.1144,0.23775,0.4672,0.6478,-0.1806,0.72402
CAT,60.5708,67.0223,-6.4515,33.534,0.7714,1.005,-0.2336,1.44861,0.526,0.3881,0.1379,0.69836,0.1491,0.5688,-0.4197,0.50544,0.3537,0.6323,-0.2786,0.79121
XGB,47.2292,54.7436,-7.5144,30.131,0.5622,0.8518,-0.2896,1.34004,0.3992,0.3593,0.0399,0.69576,0.5774,0.6118,-0.0344,0.2715,0.5874,0.7409,-0.1535,0.77509
NB,70.1197,66.1747,3.945,38.732,0.7555,1.074,-0.3185,1.19796,0.5294,0.487,0.0424,0.62284,0.3766,0.4476,-0.071,0.67665,0.4447,0.4612,-0.0165,0.83747
BG,49.4719,56.5888,-7.1169,43.474,0.6209,1.072,-0.4511,1.54597,0.4082,0.3762,0.032,0.70022,0.5414,0.6239,-0.0825,0.62224,0.5646,0.6878,-0.1232,0.8411
Static,54.1895,66.487,-12.2975,27.825,0.6622,1.4043,-0.7421,1.05944,0.4356,0.4295,0.0061,0.54115,0.4902,0.5512,-0.061,0.71622,0.565,0.6623,-0.0973,0.87652
DES,58.6333,68.2034,-9.5701,33.884,0.7007,1.3231,-0.6224,0.92209,0.4785,0.4263,0.0522,0.5723,0.3829,0.5473,-0.1644,0.66953,0.4513,0.6614,-0.2101,0.84379
Proposed,55.4505,64.8937,-9.4432,23.896,0.6725,1.313,-0.6405,0.79142,0.4536,0.4246,0.029,0.45167,0.4641,0.5516,-0.0875,0.78121,0.5232,0.6678,-0.1446,0.91375
