base,metodo,sMAPE,MRE,COD
finnish,LR,76.434,1.120,0.605
finnish,SVR,77.450,2.031,0.444
finnish,MLP,63.908,0.912,0.585
finnish,kNN,62.535,0.917,0.445
finnish,DT,65.997,1.165,0.609
finnish,Static,61.263,1.061,0.592
finnish,SES-GA,62.552,1.159,0.541
finnish,SES-GA-Multi,77.450,2.031,0.444
finnish,DES,56.633,0.837,0.462
maxwell,LR,62.447,1.667,0.576
maxwell,SVR,66.922,1.294,0.207
maxwell,MLP,59.366,1.000,0.638
maxwell,kNN,62.543,0.757,-0.032
maxwell,DT,61.018,0.674,0.625
maxwell,Static,62.667,1.001,0.466
maxwell,SES-GA,61.018,0.674,0.625
maxwell,SES-GA-Multi,61.018,0.674,0.625
maxwell,DES,58.097,0.671,0.146
desharnais,LR,59.467,0.519,0.265
desharnais,SVR,59.602,1.290,-0.227
desharnais,MLP,61.295,1.021,0.196
desharnais,kNN,47.289,0.792,0.228
desharnais,DT,58.251,0.968,-0.093
desharnais,Static,44.574,0.580,0.277
desharnais,SES-GA,48.130,0.462,0.356
desharnais,SES-GA-Multi,42.938,0.525,0.357
desharnais,DES,60.087,0.870,0.245
cocomo81,LR,142.820,17.210,0.296
cocomo81,SVR,134.325,14.399,0.250
cocomo81,MLP,155.777,7.261,0.360
cocomo81,kNN,93.842,4.467,0.206
cocomo81,DT,85.552,1.617,0.753
cocomo81,Static,121.332,5.921,0.418
cocomo81,SES-GA,129.489,7.915,0.507
cocomo81,SES-GA-Multi,155.777,7.261,0.360
cocomo81,DES,108.150,2.835,0.353
